21002;Algebra Linear I;1;1;6
21048;Fisica Geral;2;1;6
21076;Investigacao Operacional;2;2;6
21180;Computacao Numerica;3;1;4
21110;Sistemas Multimedia;3;1;6
21111;Sistemas Operativos;1;2;6
21177;Modelacao de Sistemas de Informacao;1;2;6
21010;Arquitectura de Computadores;1;1;6
21178;Laboratorio de Programacao;1;2;6
21093;Programacao por Objetos;2;1;6
21106;Sistemas em Rede;2;1;6
21046;Estruturas de Dados e Algoritmos Fundamentais;2;2;6
21071;Introducao a Inteligencia Artificial;2;2;6
21020;Computacao Grafica;3;1;6
21018;Compilacao;3;2;6
