1600001;21048;201819
1700150;21002;201819
1800002;21076;201819
1600311;21002;201819
1301234;21002;201819
1701898;21002;201819
1701898;21048;201819
1701898;21110;201819
1701898;21111;201819
1701898;21177;201819
1701898;21010;201819
1104321;21002;201819
1800003;21178;201819
1001899;21178;201819
1501898;21178;201819
1401234;21178;201819
1301234;21178;201819
1201234;21178;201819
1001234;21178;201819
1231234;21180;201819
1234567;21002;201819
1234567;21048;201819
1234567;21076;201819
1234567;21180;201819
1234567;21110;201819
1234567;21111;201819
1234567;21177;201819
1234567;21010;201819
1234567;21178;201819
1234567;21018;201819
1234567;21020;201819
1234567;21071;201819
1234567;21046;201819
1234567;21106;201819
1701898;21178;201718
1701898;21002;201718
1201234;21178;201718
1600311;21002;201718
1231234;21180;201718
